project,evidence_source,development_exposed,selection_reason,source_provider,namespace,commit,tree_oid,nonblank_source_loc,initial_alert_density_per_nonblank_kloc,alert_volume_stratum,initial_alerts,final_alerts,eliminated_alerts,remaining_alerts,introduced_alerts,net_reduction,gross_elimination_rate,net_reduction_rate,validation_scans,maximum_validation_scans,best_valid_round,last_valid_round,final_selection_status,build_status,test_status,input_tokens,cached_input_tokens,output_tokens,total_tokens,api_cost,wall_clock_seconds,guide_rules_required,guide_rules_trace_accessed,guide_access_complete,run_manifest_path,run_manifest_sha256
ace_ets_module_swiper_api11,primary_scheduler,False,top_total,existing_upstream_checkout,OpenHarmony,b79ac40f940b84c4077f7d393670a7f57cac10d3,a1fb31fe8904143caccfae2fd1e8dcadafad121c,22997,17.045701613253904,100_to_499,392,0,392,0,0,392,1.0,1.0,2,5,2,2,latest_candidate_is_best_valid,not_available,not_run,1460699,1307136,29177,1489876,,60.03202661697287,5,0,False,/home/zhihao/hdd/haprepair/baseline_data/exp_hapskill/runs/exp_hapskill_35_luna_v14_namespace_export_safe_01/hapskill/ace_ets_module_swiper_api11/run_manifest.json,44a15ac26e8a833e72833824ed9403d9138f358f2521affbd993e8769a8c63ef
acts_validator,primary_scheduler,False,top_total,existing_upstream_checkout,OpenHarmony,b79ac40f940b84c4077f7d393670a7f57cac10d3,c2f4115cc20106e46484a5e8f628be03822eb567,42354,26.491004391556878,ge_500,1122,1,1122,0,1,1121,1.0,0.9991087344028521,5,5,3,5,restored_best_valid_candidate,not_available,not_run,44189506,41895424,313845,44503351,,1743.7910128610092,9,5,False,/home/zhihao/hdd/haprepair/baseline_data/exp_hapskill/runs/exp_hapskill_35_luna_v14_namespace_export_safe_01/hapskill/acts_validator/run_manifest.json,1fa22edd661600b22b453d3a2ce627326ab9f4289c9e099e1c92eea2545351c2
applications_permission_manager,primary_scheduler,False,top_total,existing_upstream_checkout,OpenHarmony,9fd6f1e3a65b342d12b9dc04b7d9492d5d5bfb63,d10b6ba28bdcd8572cfed9b0e9b52ae30eedaf98,11009,7.266781724043963,lt_100,80,0,80,0,0,80,1.0,1.0,2,5,2,2,latest_candidate_is_best_valid,not_available,not_run,1567855,1398016,26164,1594019,,335.6967591010034,8,2,False,/home/zhihao/hdd/haprepair/baseline_data/exp_hapskill/runs/exp_hapskill_35_luna_v14_namespace_export_safe_01/hapskill/applications_permission_manager/run_manifest.json,8ddf0d6a136e2d6e2ced6575a417bc2f530cad3134cbff0bee1d5dc427ab342d
applications_photos,primary_scheduler,False,top_total,existing_upstream_checkout,OpenHarmony,a2c993829c46d965abefc5d2143187fa54fa4604,2cab482a37680a282ec16e60bd22495791ae9736,38834,2.4720605654838543,lt_100,96,0,96,0,0,96,1.0,1.0,4,5,4,4,latest_candidate_is_best_valid,not_available,not_run,19786503,18604288,137422,19923925,,2418.0302656819695,10,5,False,/home/zhihao/hdd/haprepair/baseline_data/exp_hapskill/runs/exp_hapskill_35_luna_v14_namespace_export_safe_01/hapskill/applications_photos/run_manifest.json,6c709fdbf545924e674c73eb198b296b182403cb3c2a3532d5f10defa5b838da
applications_systemui,primary_scheduler,False,top_total,existing_upstream_checkout,OpenHarmony,d0f84037f1975dd9bf13ccbd279bd2d9b56e8a01,88777b1727094ce2ae081af00372a20cad1b0d49,24274,3.048529290598995,lt_100,74,0,74,0,0,74,1.0,1.0,2,5,2,2,latest_candidate_is_best_valid,not_available,not_run,22824540,21670912,187550,23012090,,1940.05128874199,6,3,False,/home/zhihao/hdd/haprepair/baseline_data/exp_hapskill/runs/exp_hapskill_35_luna_v14_namespace_export_safe_01/hapskill/applications_systemui/run_manifest.json,7229dbfeb8097d8399949f968fb95767cc9f4b08bc0d4c15dc00993a0e7d0a48
asn1_ber,primary_scheduler,False,top_total,existing_upstream_checkout,OpenHarmony-TPC,f0477376c50fb0715e53c1737430a61486616304,ccb4e1ed72064148d15259dc362a7bab5fe9b6a7,2057,157.99708313077298,100_to_499,325,0,325,0,0,325,1.0,1.0,1,5,1,1,latest_candidate_is_best_valid,passed,not_run,454303493,434242048,1528813,455832306,,69.55874474998564,2,2,True,/home/zhihao/hdd/haprepair/baseline_data/exp_hapskill/runs/exp_hapskill_35_luna_v14_namespace_export_safe_01/hapskill/asn1_ber/run_manifest.json,1de63033d1a9a5f6de63a5a2a4d060d0cc5a5bee9c337943ff4b3413d1dc19eb
audio_suite,primary_scheduler,False,top_security,GitCode,OpenHarmony,12421e142788bfa77008a2c305d0b30b271fed78,adca52ce7442f75696c5a4e462bb9b975582aa36,16230,13.185459026494147,100_to_499,214,0,214,0,0,214,1.0,1.0,5,5,5,5,latest_candidate_is_best_valid,not_available,not_run,28135592,26738176,211443,28347035,,3501.035287414037,15,8,False,/home/zhihao/hdd/haprepair/baseline_data/exp_hapskill/runs/exp_hapskill_35_luna_v14_namespace_export_safe_01/hapskill/audio_suite/run_manifest.json,00b61ff59a57420046e4d07e048682d19286effecda4eed281737867a431e246
bluetoothtest,primary_scheduler,False,top_total,existing_upstream_checkout,OpenHarmony,938e7c5256ca81533b596c8071b633eadc0304fe,e5f305d73b9ee2f95303aa5a7e7f1e5439f22dab,147289,3.347161023565915,100_to_499,493,0,493,0,0,493,1.0,1.0,3,5,3,3,latest_candidate_is_best_valid,not_available,not_run,35904588,33767168,262638,36167226,,2040.42874637997,8,1,False,/home/zhihao/hdd/haprepair/baseline_data/exp_hapskill/runs/exp_hapskill_35_luna_v14_namespace_export_safe_01/hapskill/bluetoothtest/run_manifest.json,4e89e88da5ef6e03771d969b8e1b4ef652eb4e08d8e461fd71561f1004abfceb
cameraAnimSample,primary_scheduler,False,top_security,existing_upstream_checkout,OpenHarmony,75a62371917ab87db71d92eac22c3ead8511ce55,dc3a142baca136d2052751a56a871e11c6d80ebb,2364,4.653130287648055,lt_100,11,0,11,0,0,11,1.0,1.0,1,5,1,1,latest_candidate_is_best_valid,not_available,not_run,608924,527616,14090,623014,,446.79420350899454,7,4,False,/home/zhihao/hdd/haprepair/baseline_data/exp_hapskill/runs/exp_hapskill_35_luna_v14_namespace_export_safe_01/hapskill/cameraAnimSample/run_manifest.json,a6b138f2700c5df78b0de620dd73fddb55f47088be825ed790b26c6ef308f1fd
flutter_embedding,audited_retry,False,top_security,GitCode,OpenHarmony-TPC,586a3d4e88a3c01c09d749c744d25df9f75b7eb5,c40bcf635d8cd7baeafe8790ba59148155749e8d,16742,7.3467924979094485,100_to_499,123,23,100,23,0,100,0.8130081300813008,0.8130081300813008,5,5,3,5,restored_best_valid_candidate,not_available,not_run,124406922,115639040,1230872,125637794,,3042.6029603880015,9,4,False,/home/zhihao/hdd/haprepair/baseline_data/exp_hapskill/runs/exp_hapskill_35_luna_v14_namespace_export_safe_flutter_embedding_retry_01/hapskill/flutter_embedding/run_manifest.json,bb2af509e1ab80f93ad6fb2f0f78164ea7f08b10788b3cd3cf5f92d408b3340d
ohos_cordova,primary_scheduler,False,top_security,existing_upstream_checkout,OpenHarmony-SIG,339433ac3c459cd4c3ca532ff8dc38e294e14249,a6cc75197a0ee77b7e7773cdc5c89bb48241851a,4064,6.397637795275591,lt_100,26,7,19,7,0,19,0.7307692307692307,0.7307692307692307,5,5,1,5,restored_best_valid_candidate,passed,not_run,7374509,6702080,83699,7458208,,1583.6170514419791,6,3,False,/home/zhihao/hdd/haprepair/baseline_data/exp_hapskill/runs/exp_hapskill_35_luna_v14_namespace_export_safe_01/hapskill/ohos_cordova/run_manifest.json,8eccb83bffb055d5ca1b4b79e5b27c5603c6ab918fc45048cd0bf54b28d2c2c9
ohos_dfu_library,primary_scheduler,False,top_security,existing_upstream_checkout,OpenHarmony-SIG,e4316d7c4cd49cbb54daa86ed9f7689925d6e084,7bfd067058be7e96ef385a52f3399d088213a56a,7424,22.494612068965516,100_to_499,167,0,167,0,0,167,1.0,1.0,2,5,2,2,latest_candidate_is_best_valid,not_available,not_run,15986936,15240960,153291,16140227,,1280.83818724897,6,4,False,/home/zhihao/hdd/haprepair/baseline_data/exp_hapskill/runs/exp_hapskill_35_luna_v14_namespace_export_safe_01/hapskill/ohos_dfu_library/run_manifest.json,c1ce858f311b4d30765004598db2daf753e2245763bf6f106a8a00fcca959c8e
ohos_mail_base,primary_scheduler,False,top_security,existing_upstream_checkout,OpenHarmony-TPC,81b8d803c41433b78e8a365cbec96450c9c87c72,36e2a43cab5330f502ad996d2724e6c2412ee46a,18517,7.66862882756386,100_to_499,142,0,142,0,0,142,1.0,1.0,3,5,3,3,latest_candidate_is_best_valid,not_available,not_run,17574301,16335872,133964,17708265,,1910.8155831620097,15,4,False,/home/zhihao/hdd/haprepair/baseline_data/exp_hapskill/runs/exp_hapskill_35_luna_v14_namespace_export_safe_01/hapskill/ohos_mail_base/run_manifest.json,072f3113f131f4ecbe1b0b569c2a22de7a30a03be2e62e0562038f884accda46
shopping,primary_scheduler,False,top_security,existing_upstream_checkout,OpenHarmony-SIG,6fcaae73f77ced494de7e3765f8cb3756901b7bf,40ec7590bc1c9d68d58447e4577247ae0061e10c,3523,33.21033210332103,100_to_499,117,0,117,0,0,117,1.0,1.0,3,5,3,3,latest_candidate_is_best_valid,not_available,not_run,6676445,6176512,84770,6761215,,429.3099879240035,10,6,False,/home/zhihao/hdd/haprepair/baseline_data/exp_hapskill/runs/exp_hapskill_35_luna_v14_namespace_export_safe_01/hapskill/shopping/run_manifest.json,be24f93dc257111f6a30747837f85b8b957088fc93775a757e2acd0db77d1838
wifi_testapp,primary_scheduler,True,top_total,existing_upstream_checkout,OpenHarmony,39463eeda7f0177937e9edbe8fb0bcce0c1ee577,f15c787f02236ada7c024fb5753c652708247462,94301,11.389062682262118,ge_500,1074,0,1074,0,0,1074,1.0,1.0,2,5,2,2,latest_candidate_is_best_valid,not_available,not_run,5012701,4651776,65482,5078183,,779.8415492569911,8,2,False,/home/zhihao/hdd/haprepair/baseline_data/exp_hapskill/runs/exp_hapskill_35_luna_v14_namespace_export_safe_01/hapskill/wifi_testapp/run_manifest.json,ee59eddac99a0cee362aa9a05c3eceeaa376c9b77b7ee50baf25b291bfec54ee
